57,Когато телефонът позвъни:,бързате да стигнете до него първи,надявате се че някой друг ще го вдигне,bg
58,Цените повече в себе си:,силното чувство за реалността,живото въображение,bg
59,Привличат Ви повече:,основните неща,отенъците,bg
60,Кое изглежда по-голямата грешка:,да бъдете твърде страстни,да бъдете прекалено обективни,bg
61,Виждате ли себе си като основно:,твърдоглав,отзивчив,bg
62,Коя ситуация Ви харесва повече:,тази която е структурирана и планирана,неструктурираната и непредвидена,bg
63,Вие сте човек който е по-:,рутинизиран отколкото капризен,капризен отколкото рутинизиран,bg
64,По-склонни ли сте да бъдете:,лесно достъпни,малко резервирани,bg
65,В писанията предпочитате:,по-буквалното,по-фигуративното,bg
66,Кое е по-трудно за Вас:,да се идентифицирате с другите,да използвате другите,bg
67,Кое искате повече за себе си:,яснотата на разума,силата на състраданието,bg
68,Кое е по-голямата вина:,да бъдете безогледни,да бъдете критични,bg
69,Кое предпочитате:,планираното събитие,непланирано събитие,bg
70,Склонни ли сте да бъдете повече:,преднамерени отколкото спонтанни,спонтанни отколкото преднамерени,bg
